folder,folder_dir,uidvalidity,uid,relative_path,internaldate_utc,date_header,flags,size_bytes,rfc822_size,sha256,message_id,from,to,cc,subject
INBOX,INBOX,1787958027,1,mail/INBOX/000001.eml,2025-06-27T17:10:17+00:00,"Fri, 04 Jan 2019 01:00:00 +0000",\Flagged \Recent,335,335,541d4a7d4e334db41f4e0fed7e2490d88bdd908843436acc2fd547f51290f0d9,<1.INBOX@example.com>,Sender 1 <sender1@example.com>,tester@example.com,cc1@example.com,Äöü umlaut subject 1
INBOX,INBOX,1787958027,2,mail/INBOX/000002.eml,2026-03-22T17:42:38+00:00,"Mon, 07 Jan 2019 02:00:00 +0000",\Flagged \Seen \Recent,361,361,bb8eb10d2bb14de280694b600d70b74012c30324b1060e2f4f5753e1e65a1d6c,<2.INBOX@example.com>,Sender 2 <sender2@example.com>,tester@example.com,cc2@example.com,Résumé 2
INBOX,INBOX,1787958027,3,mail/INBOX/000003.eml,2026-04-15T21:41:35+00:00,"Thu, 10 Jan 2019 03:00:00 +0000",\Recent,394,394,bd3e82f8170797c8250d00fd4b875111e5e83cda88b9b9a07977fd80be0175c3,<3.INBOX@example.com>,Sender 3 <sender3@example.com>,tester@example.com,cc3@example.com,Re: Q4 report 3 — attached
INBOX,INBOX,1787958027,4,mail/INBOX/000004.eml,2026-04-05T09:47:45+00:00,"Sun, 13 Jan 2019 04:00:00 +0000",\Flagged \Recent,423,423,b9bbbd754f47cec670d3fc4dac05322ee0e5a1e93b59deba3fb9f6e77870c5ce,<4.INBOX@example.com>,Sender 4 <sender4@example.com>,tester@example.com,cc4@example.com,Test message 4 in INBOX
INBOX,INBOX,1787958027,5,mail/INBOX/000005.eml,2026-07-18T17:40:30+00:00,"Wed, 16 Jan 2019 05:00:00 +0000",\Seen \Recent,301,301,c88ee70865702710f3c1aad0fb57565ff9af0eb963e1926c008fc8315888b003,<5.INBOX@example.com>,Sender 5 <sender5@example.com>,tester@example.com,cc5@example.com,Äöü umlaut subject 5
INBOX,INBOX,1787958027,6,mail/INBOX/000006.eml,2023-09-04T11:43:03+00:00,"Sat, 19 Jan 2019 06:00:00 +0000",\Recent,327,327,a57afb2884967b6142ec4b5a940a51c4966cedb7632d7a27db1a40ea1fa5dae1,<6.INBOX@example.com>,Sender 6 <sender6@example.com>,tester@example.com,cc6@example.com,Résumé 6
INBOX,INBOX,1787958027,7,mail/INBOX/000007.eml,2024-02-25T13:35:26+00:00,,\Recent,108,108,912b7f29649748f4c9befcb5c121e1a3ee193a50fd4090877afb1937a9115347,,broken7@example.com,tester@example.com,,broken message 7
INBOX,INBOX,1787958027,8,mail/INBOX/000008.eml,2025-12-23T22:28:37+00:00,"Fri, 25 Jan 2019 08:00:00 +0000",\Seen \Recent,389,389,adcf4edd730bf09dcc4fcd6c0946412d978f49a35beb14fddd880051de4e2710,<8.INBOX@example.com>,Sender 8 <sender8@example.com>,tester@example.com,cc8@example.com,Test message 8 in INBOX
INBOX,INBOX,1787958027,9,mail/INBOX/000009.eml,2025-12-30T10:18:42+00:00,"Mon, 28 Jan 2019 09:00:00 +0000",\Recent,437,437,9a13c3a08b919e7a278084b6c3539f70e0b2e860fa838721d108f8402f8b30f9,<9.INBOX@example.com>,Sender 9 <sender9@example.com>,tester@example.com,cc9@example.com,Äöü umlaut subject 9
INBOX,INBOX,1787958027,10,mail/INBOX/000010.eml,2026-03-23T04:19:56+00:00,"Thu, 31 Jan 2019 10:00:00 +0000",\Seen \Recent,299,299,b64ee23c0bd93781f612ae3a4415047273ba2ec5f64f0dae269c0f13e47cad3a,<10.INBOX@example.com>,Sender 10 <sender10@example.com>,tester@example.com,cc10@example.com,Résumé 10
INBOX,INBOX,1787958027,11,mail/INBOX/000011.eml,2025-03-12T15:24:32+00:00,"Sun, 03 Feb 2019 11:00:00 +0000",\Flagged \Seen \Recent,333,333,1c228162bd4dfa6c0a3c1856fb5555009deffb65854646ce6420cd43400ac2be,<11.INBOX@example.com>,Sender 11 <sender11@example.com>,tester@example.com,cc11@example.com,Re: Q4 report 11 — attached
INBOX,INBOX,1787958027,12,mail/INBOX/000012.eml,2024-09-14T06:24:24+00:00,"Wed, 06 Feb 2019 12:00:00 +0000",\Recent,363,363,c2a1cc244c3e1d9fca71151d60a399b2abbb85634fa94ef723aa7e599cea0411,<12.INBOX@example.com>,Sender 12 <sender12@example.com>,tester@example.com,cc12@example.com,Test message 12 in INBOX
